id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
HSFZ;1;1;0;1;3;5;0;29;1;1;1;0;0;0;1;1;0;1;0;0.25;0.0;0.5;0.0
NSPM;1;1;0;2;3;5;0;26;1;1;1;0;0;0;1;1;0;1;0;0.75;0.8333333333333333;0.8;0.0
HXNZ;0;1;0;1;2;3;0;29;1;1;1;0;1;0;1;1;0;1;1;0.25;0.0;0.4444444444444444;0.0
FXRN;1;1;0;3;1;4;0;35;1;1;1;0;0;0;1;1;0;1;0;0.25;0.0;0.5;0.0
WDX4;0;1;0;3;1;3;0;27;1;1;1;0;0;0;1;1;0;1;0;0.5;0.5;0.6666666666666666;0.0
JTN6;1;1;0;2;1;3;0;25;1;0;0;0;0;0;1;0;0;1;0;0.6666666666666666;0.0;0.75;1.0
JUEV;0;1;0;2;1;2;0;36;0;1;1;0;0;0;1;0;0;1;0;0.3333333333333333;0.0;0.6;0.0
CDY9;0;1;0;3;1;2;0;26;0;0;0;0;0;0;0;0;0;1;0;1.0;0.6666666666666666;1.0;0.3333333333333333
HNK1;1;1;0;3;1;3;0;32;0;1;1;0;0;0;0;0;0;1;0;0.6666666666666666;0.0;0.75;1.0
LYG9;1;0;1;1;2;2;0;43;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
RKKT;0;1;0;1;0;3;0;31;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
WQTO;1;1;0;1;3;1;0;51;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
FUEE;0;1;0;1;2;5;0;55;0;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
MFS8;0;1;0;2;0;2;0;27;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0
GZG4;0;1;0;3;1;3;0;31;0;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0
SFOR;1;1;0;3;1;2;0;42;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
OTLT;0;0;1;1;2;2;0;37;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
NGN6;1;1;0;3;1;2;0;31;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0
U3E5;1;1;0;3;2;3;0;34;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
KCJX;1;1;0;1;2;2;0;43;1;1;0;0;0;0;0;0;0;0;0;0.0625;0.0;0.1951219512195122;0.0
VRJA;1;1;0;1;2;3;0;26;1;1;0;0;0;0;0;0;0;1;0;0.125;0.125;0.2807017543859649;0.0
NCVG;1;1;0;1;2;3;0;30;0;1;0;0;0;0;0;0;0;1;0;0.0625;0.0;0.3333333333333333;0.0
M2AK;1;1;0;2;1;3;0;50;1;0;0;0;0;0;0;0;0;0;0;0.0625;0.0;0.3333333333333333;0.0
VBBK;1;1;0;2;1;3;0;39;1;1;0;0;0;0;0;0;0;1;0;0.125;0.4;0.3555555555555555;0.0
A5ND;1;1;0;1;2;3;0;55;1;1;0;0;0;0;0;0;0;1;0;0.125;0.125;0.2388059701492537;0.0
IBF2;1;1;0;1;2;3;0;24;0;0;0;0;0;0;0;0;0;1;0;0.0625;0.0;0.3333333333333333;0.0
QBD4;1;1;0;1;1;2;0;31;1;1;1;0;0;0;1;0;0;1;0;0.125;0.2333333333333333;0.3636363636363636;0.0
PAOG;1;1;0;1;2;3;0;33;0;0;0;0;0;0;0;0;0;1;0;0.25;0.1291666666666666;0.3636363636363636;0.3333333333333333
FNWW;1;1;0;1;1;2;0;40;0;1;0;0;0;0;0;0;0;1;0;0.125;0.0;0.3478260869565217;1.0
IKE0;1;1;0;3;1;3;0;25;1;1;0;0;0;0;0;0;0;1;0;0.0625;0.0;0.2222222222222222;0.0
QJDU;1;1;0;3;2;3;0;44;0;0;0;0;0;0;0;0;0;1;0;0.0625;0.0;0.2318840579710145;0.0
DFHQ;1;0;1;1;2;2;0;38;0;1;0;0;0;0;0;0;0;1;0;0.125;0.0;0.3478260869565217;1.0
WNHD;1;1;0;1;2;2;0;48;1;1;1;0;0;0;1;0;0;1;0;0.1875;0.3416666666666667;0.2962962962962963;0.0
ODIJ;0;1;0;2;2;3;0;31;1;0;0;0;0;0;1;0;0;1;0;0.0625;0.0;0.2711864406779661;0.0
OFC1;1;1;0;3;1;3;0;48;0;1;0;0;0;0;0;1;0;1;0;0.5;0.8041666666666667;0.4848484848484848;0.0714285714285714
QKX7;1;1;0;1;2;3;0;39;0;1;1;0;0;0;0;0;0;1;0;0.125;0.4583333333333333;0.4210526315789473;0.0
XGML;0;1;0;3;0;3;0;25;1;1;0;0;0;0;1;1;0;1;0;1.0;0.6666666666666666;1.0;0.3333333333333333
IDFD;0;1;0;0;0;0;0;24;0;0;0;0;0;0;1;1;0;1;0;0.6666666666666666;0.0;0.75;1.0
L2U8;0;1;0;4;3;5;0;24;0;0;0;0;0;0;1;1;0;1;0;0.6666666666666666;0.0;0.75;1.0
M8FK;1;1;0;2;1;3;0;32;1;1;0;0;0;0;0;0;0;1;0;0.3333333333333333;0.0;0.6;0.0
B3A5;1;1;0;3;0;2;0;31;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
CQH5;0;1;0;3;1;2;0;40;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
JQZU;1;1;0;3;3;5;0;32;1;1;1;0;0;0;0;1;0;0;0;1.0;0.0;1.0;0.0
MMZG;0;1;0;3;3;5;0;31;1;1;1;0;0;0;0;1;0;0;0;1.0;0.0;1.0;0.0
COFI;1;1;0;3;1;3;0;53;0;1;1;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0
YUBW;1;1;0;1;2;2;0;44;0;1;0;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0
BUG5;0;1;0;3;1;2;0;33;1;1;1;0;0;0;1;0;0;1;0;1.0;1.0;1.0;0.0
OSSX;0;1;0;0;2;0;0;27;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
JZMA;0;1;0;2;1;2;0;22;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
YUDM;0;0;1;1;2;2;0;27;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
NDKA;1;1;0;1;2;4;0;40;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
IUKR;0;1;0;4;3;5;0;46;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
Q3E0;0;0;1;1;2;3;0;35;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
G8RD;1;1;0;4;3;5;0;42;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
PAZ4;1;1;0;3;0;3;0;47;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
