id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC;key;scores
KXQG;1;1;0;2;0;2;0;44;1;1;0;0;0;0;0;0;0;1;0;0.0021563342318059;0.0010884203952008;0.0509195717814987;0.0;1;0.3573330792627195
XVJO;0;1;0;3;1;2;0;27;1;1;0;0;0;0;1;1;0;1;0;0.0010781671159029;0.0;0.046901468989406;1.0;0;0.04053748317391582
O1A1;0;1;0;3;1;3;0;28;1;1;1;0;1;1;1;0;0;1;0;0.0010781671159029;0.0;0.0345071339546477;1.0;0;0.037145618974050706
I5WJ;1;1;0;3;0;2;0;41;0;1;1;0;0;0;1;1;0;0;0;0.0026954177897574;0.0032313901319213;0.0557090515946903;0.5;0;0.7740515592410813
P4GK;0;1;0;1;2;3;0;44;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0411938442406342;0.0;0;0.4134840615446035
H9AT;1;1;0;2;1;4;0;32;1;1;1;0;0;0;1;0;0;1;0;0.0016172506738544;0.0005300672700074;0.0390526315789473;0.6666666666666666;0;0.816360851633299
VLO6;1;1;0;1;2;3;0;38;1;1;1;0;0;0;1;1;0;0;0;0.0021563342318059;1.938452204068617e-07;0.0510204081632653;0.8333333333333334;0;0.13246257016829086
X5HN;1;1;0;1;1;3;0;30;0;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0362127867252318;0.0;0;0.21378409005860877
YWX7;0;1;0;0;0;0;0;26;0;1;0;0;0;0;0;0;0;1;0;0.0021563342318059;1.7639915057024416e-06;0.0436850905494194;0.6666666666666666;1;0.3694178774104101
A5ME;0;0;1;3;1;2;0;43;0;1;1;0;0;0;0;0;0;1;0;0.0010781671159029;0.0010781671159029;0.0405243036592026;0.0;0;0.0074005188122531675
J8VJ;1;1;0;3;1;3;0;71;1;1;1;0;0;0;0;0;0;1;0;0.0005390835579514;0.0;0.0507662835249042;0.0;0;0.013478117705431551
